brand,model,cc,segment,year,speedometer_type,top_speed_kmh,mileage_kmpl,fuel_tank_liters,factory_price_inr,gst_rate_pct,gst_amount_inr,ex_showroom_inr,on_road_price_inr,overall_score,price_increase_scenario_pct,buyer_behaviour,price_sensitivity
Royal Enfield,Thunderbird 350X,346,premium,2022,Semi-Digital,147,33.7,16.2,135938,28.0,38062,174000,203939,66,11.6,Will definitely switch,Very High
Suzuki,Gixxer 250,249,mid,2025,Digital,148,30.8,18.4,142969,28.0,40031,183000,210633,66,14.1,Will definitely switch,Very High
Hero,Super Splendor,125,budget,2023,Semi-Digital,107,51.6,12.4,73438,28.0,20562,94000,109421,59,9.3,Will definitely switch,Very High
Hero,Xtreme 160R,163,mid,2022,Digital,121,39.2,10.9,100781,28.0,28219,129000,148761,70,8.1,Will likely switch brand,High
Royal Enfield,Meteor 350,349,premium,2023,Semi-Digital,144,30.5,15.1,166406,28.0,46594,213000,249468,76,8.3,Will likely switch brand,High
Hero,Xpulse 200,199,mid,2022,Digital,133,43.3,13.8,114062,28.0,31938,146000,170379,76,7.9,Will likely switch brand,High
Royal Enfield,Continental GT 650,648,premium,2021,Analog,171,20.9,15.1,271756,31.0,84244,356000,405274,71,7.6,Will likely switch brand,High
Honda,CB350RS,348,premium,2021,Digital,144,32.4,15.3,180469,28.0,50531,231000,271166,78,4.4,Might reconsider,Medium
Honda,CD 110 Dream,109,budget,2024,Analog,86,75.5,9.2,64844,28.0,18156,83000,100063,61,6.3,Will definitely switch,Very High
Hero,Mavrick 440,440,premium,2020,Digital,173,20.5,14.5,163359,31.0,50641,214000,251449,80,5.2,Will likely switch brand,High
Bajaj,Pulsar 150,149,mid,2024,Semi-Digital,111,60.5,11.3,96875,28.0,27125,124000,144662,73,13.8,Will definitely switch,Very High
TVS,Apache RTR 160 4V,159,mid,2025,Digital,135,40.6,11.9,103125,28.0,28875,132000,153357,73,2.4,Might reconsider,Medium
Royal Enfield,Meteor 350,349,premium,2024,Semi-Digital,163,34.8,19.5,175000,28.0,49000,224000,258120,68,1.2,Likely to buy,Low
KTM,Duke 390,373,premium,2025,Digital,191,23.8,15.4,229008,31.0,70992,300000,341067,79,10.2,Will definitely switch,Very High
Yamaha,R15 V4,155,mid,2024,Digital,131,44.3,12.0,150781,28.0,42219,193000,223767,69,3.0,Might reconsider,Medium
Suzuki,Gixxer 250,249,mid,2023,Digital,161,35.4,14.0,156250,28.0,43750,200000,234058,69,11.7,Will definitely switch,Very High
Bajaj,Dominar 400,373,premium,2024,Digital,199,21.3,19.4,170229,31.0,52771,223000,253720,80,10.3,Will definitely switch,Very High
Yamaha,R15 V4,155,mid,2020,Digital,128,42.3,12.0,129688,28.0,36312,166000,191228,75,14.7,Will definitely switch,Very High
KTM,RC 390,373,premium,2022,Digital,175,22.1,18.7,267939,31.0,83061,351000,405528,74,9.7,Will likely switch brand,High
TVS,Raider 125,124,budget,2020,Digital,112,55.9,12.6,77344,28.0,21656,99000,115982,67,10.6,Will definitely switch,Very High
Hero,Super Splendor,125,budget,2023,Semi-Digital,110,56.8,12.6,65625,28.0,18375,84000,97672,59,8.0,Will definitely switch,Very High
Royal Enfield,Bullet 350,346,premium,2025,Analog,147,35.2,19.2,138281,28.0,38719,177000,207045,68,13.6,Will definitely switch,Very High
Yamaha,FZS 25,249,mid,2022,Digital,158,35.1,13.1,124219,28.0,34781,159000,187692,81,1.5,Likely to buy,Low
Bajaj,Pulsar NS200,199,mid,2024,Digital,129,46.3,13.3,118750,28.0,33250,152000,179091,75,8.9,Will likely switch brand,High
Royal Enfield,Interceptor 650,648,premium,2022,Analog,204,23.5,13.4,254962,31.0,79038,334000,383099,64,8.0,Will definitely switch,Very High
KTM,RC 390,373,premium,2022,Digital,185,24.4,18.5,245038,31.0,75962,321000,365685,76,1.4,Likely to buy,Low
Yamaha,Saluto RX,113,budget,2022,Analog,117,50.9,13.2,58594,28.0,16406,75000,89497,51,11.8,Will definitely switch,Very High
Hero,Mavrick 440,440,premium,2020,Digital,184,20.2,13.0,160305,31.0,49695,210000,241981,80,6.0,Will likely switch brand,High
TVS,Ronin,225,mid,2023,Digital,154,29.6,13.7,128125,28.0,35875,164000,189727,72,8.8,Will likely switch brand,High
Honda,Shine,124,budget,2020,Semi-Digital,105,59.8,12.9,68750,28.0,19250,88000,102388,63,6.8,Will definitely switch,Very High
Suzuki,V-Strom SX,249,premium,2022,Digital,145,33.4,16.5,182812,28.0,51188,234000,274266,70,4.8,Might reconsider,Medium
Hero,Xpulse 200 4V,199,mid,2024,Digital,127,40.6,10.8,114844,28.0,32156,147000,167989,78,7.9,Will likely switch brand,High
Honda,Unicorn,160,mid,2025,Semi-Digital,130,40.8,13.9,84375,28.0,23625,108000,125304,69,5.7,Will likely switch brand,High
Honda,CB350 H'ness,348,premium,2025,Digital,152,30.6,17.4,158594,28.0,44406,203000,237013,77,5.1,Will likely switch brand,High
TVS,Star City Plus,109,budget,2021,Semi-Digital,91,63.5,9.4,62500,28.0,17500,80000,94449,70,15.0,Will definitely switch,Very High
Suzuki,Gixxer SF 250,249,mid,2023,Digital,149,31.5,17.7,140625,28.0,39375,180000,211289,64,12.5,Will definitely switch,Very High
Honda,CB350 H'ness,348,premium,2024,Digital,152,31.4,16.4,167188,28.0,46812,214000,247360,73,7.3,Will likely switch brand,High
KTM,Duke 200,199,mid,2020,Digital,131,42.4,10.4,157031,28.0,43969,201000,237744,76,9.3,Will likely switch brand,High
TVS,Star City Plus,109,budget,2023,Semi-Digital,97,71.1,8.2,65625,28.0,18375,84000,97701,66,14.5,Will definitely switch,Very High
Honda,SP 125,124,budget,2023,Digital,112,57.5,13.1,73438,28.0,20562,94000,111612,73,6.2,Will likely switch brand,High
Yamaha,R3,321,premium,2025,Digital,142,31.4,14.0,332031,28.0,92969,425000,496025,71,12.6,Will definitely switch,Very High
TVS,Ronin,225,mid,2022,Digital,154,31.8,13.3,125781,28.0,35219,161000,188865,71,5.5,Will likely switch brand,High
Honda,Hornet 2.0,184,mid,2021,Digital,127,46.3,11.3,100781,28.0,28219,129000,147915,83,3.4,Might reconsider,Medium
KTM,RC 200,199,mid,2024,Digital,133,38.8,13.5,180469,28.0,50531,231000,263179,74,1.4,Likely to buy,Low
Yamaha,Saluto RX,113,budget,2024,Analog,107,52.1,10.7,59375,28.0,16625,76000,89455,59,2.4,Might reconsider,Medium
Royal Enfield,Classic 350,349,premium,2024,Semi-Digital,160,32.2,15.7,145312,28.0,40688,186000,213807,71,9.4,Will likely switch brand,High
Honda,Hornet 2.0,184,mid,2025,Digital,129,44.1,10.5,107031,28.0,29969,137000,163154,78,9.3,Will likely switch brand,High
Honda,CB200X,184,mid,2023,Digital,133,42.1,11.7,112500,28.0,31500,144000,164168,78,2.9,Might reconsider,Medium
Yamaha,R15 V4,155,mid,2022,Digital,135,42.6,13.4,143750,28.0,40250,184000,214427,71,3.0,Might reconsider,Medium
Hero,Xtreme 160R,163,mid,2023,Digital,137,45.2,12.7,111719,28.0,31281,143000,168360,82,10.1,Will definitely switch,Very High
KTM,Duke 390,373,premium,2022,Digital,208,19.5,14.6,244275,31.0,75725,320000,366267,74,5.1,Will likely switch brand,High
TVS,Apache RTR 160 4V,159,mid,2024,Digital,123,42.5,13.3,100000,28.0,28000,128000,150350,75,2.6,Might reconsider,Medium
Royal Enfield,Scram 411,411,premium,2025,Semi-Digital,187,22.2,18.3,164885,31.0,51115,216000,253389,71,11.3,Will definitely switch,Very High
TVS,Apache RR 310,312,premium,2025,Digital,143,31.5,17.1,232031,28.0,64969,297000,333970,72,3.9,Might reconsider,Medium
Royal Enfield,Thunderbird 350X,346,premium,2024,Semi-Digital,146,29.2,15.5,153125,28.0,42875,196000,228546,69,12.3,Will definitely switch,Very High
TVS,Apache RTR 160,159,mid,2025,Semi-Digital,128,39.9,13.3,95312,28.0,26688,122000,141828,67,14.8,Will definitely switch,Very High
Honda,CB350 H'ness,348,premium,2025,Digital,144,34.8,15.3,176562,28.0,49438,226000,265250,74,4.5,Might reconsider,Medium
TVS,Star City Plus,109,budget,2025,Semi-Digital,98,72.2,9.6,66406,28.0,18594,85000,101846,67,7.3,Will likely switch brand,High
Honda,Shine,124,budget,2025,Semi-Digital,120,54.4,10.4,69531,28.0,19469,89000,106207,64,9.1,Will definitely switch,Very High
Yamaha,FZ-S V3,149,mid,2022,Semi-Digital,118,53.6,13.3,103906,28.0,29094,133000,157790,65,7.9,Will definitely switch,Very High
Royal Enfield,Hunter 350,349,premium,2025,Semi-Digital,164,35.0,18.5,129688,28.0,36312,166000,191364,72,1.6,Likely to buy,Low
Yamaha,FZ-S V3,149,mid,2021,Semi-Digital,118,48.4,13.5,93750,28.0,26250,120000,141909,65,14.9,Will definitely switch,Very High
TVS,Apache RR 310,312,premium,2025,Digital,142,30.9,14.2,207031,28.0,57969,265000,310170,74,10.3,Will definitely switch,Very High
KTM,Duke 125,124,mid,2020,Digital,108,57.1,10.5,139844,28.0,39156,179000,210350,70,4.0,Might reconsider,Medium
Bajaj,Pulsar RS200,199,mid,2021,Digital,133,45.2,11.5,137500,28.0,38500,176000,201929,75,7.7,Will likely switch brand,High
Honda,Unicorn,160,mid,2021,Semi-Digital,124,44.8,10.3,84375,28.0,23625,108000,125681,72,14.9,Will definitely switch,Very High
Hero,HF Deluxe,97,budget,2023,Analog,89,72.2,9.7,55469,28.0,15531,71000,82647,62,9.6,Will definitely switch,Very High
Honda,Shine,124,budget,2021,Semi-Digital,118,53.5,11.1,75000,28.0,21000,96000,112324,64,12.1,Will definitely switch,Very High
Honda,CD 110 Dream,109,budget,2021,Analog,85,74.7,9.0,58594,28.0,16406,75000,89302,67,13.3,Will definitely switch,Very High
Yamaha,MT-03,321,premium,2024,Digital,143,32.0,13.5,341406,28.0,95594,437000,500545,73,8.0,Will likely switch brand,High
Hero,HF Deluxe,97,budget,2020,Analog,90,68.7,8.0,58594,28.0,16406,75000,90578,63,14.4,Will definitely switch,Very High
Hero,Xpulse 200 4V,199,mid,2023,Digital,140,42.1,12.8,111719,28.0,31281,143000,166233,76,11.7,Will definitely switch,Very High
Honda,CD 110 Dream,109,budget,2023,Analog,91,66.8,9.2,62500,28.0,17500,80000,93107,59,8.5,Will definitely switch,Very High
Hero,Xpulse 200 4V,199,mid,2024,Digital,122,37.5,12.4,117188,28.0,32812,150000,174962,74,2.6,Might reconsider,Medium
TVS,Ronin,225,mid,2022,Digital,162,33.6,16.7,132031,28.0,36969,169000,194683,64,3.3,Might reconsider,Medium
TVS,Jupiter 110,109,budget,2023,Semi-Digital,88,73.9,8.5,59375,28.0,16625,76000,89033,61,5.7,Will definitely switch,Very High
Hero,Xpulse 200 4V,199,mid,2024,Digital,131,41.5,10.7,116406,28.0,32594,149000,177103,68,8.0,Will likely switch brand,High
Bajaj,CT100,102,budget,2020,Analog,85,63.5,8.5,45312,28.0,12688,58000,70244,55,13.0,Will definitely switch,Very High
Yamaha,FZS 25,249,mid,2022,Digital,162,32.4,14.7,125781,28.0,35219,161000,187357,75,6.9,Will likely switch brand,High
Royal Enfield,Meteor 350,349,premium,2024,Semi-Digital,141,33.3,19.9,157812,28.0,44188,202000,230411,68,4.1,Might reconsider,Medium
KTM,Duke 200,199,mid,2021,Digital,137,40.3,11.2,145312,28.0,40688,186000,214242,75,1.1,Likely to buy,Low
TVS,Apache RR 310,312,premium,2024,Digital,164,35.8,18.3,227344,28.0,63656,291000,331997,78,11.3,Will definitely switch,Very High
TVS,Star City Plus,109,budget,2025,Semi-Digital,85,67.4,8.8,60156,28.0,16844,77000,92597,66,1.0,Likely to buy,Low
TVS,Ronin,225,mid,2021,Digital,144,35.5,19.3,121094,28.0,33906,155000,180088,74,2.3,Might reconsider,Medium
Suzuki,Access 125,124,budget,2020,Semi-Digital,109,56.1,12.4,69531,28.0,19469,89000,105141,65,12.5,Will definitely switch,Very High
Hero,Xpulse 200,199,mid,2022,Digital,132,45.5,10.9,111719,28.0,31281,143000,167991,79,5.5,Will likely switch brand,High
Bajaj,Pulsar N160,160,mid,2024,Digital,134,38.6,11.4,95312,28.0,26688,122000,141876,72,6.7,Will likely switch brand,High
Bajaj,Pulsar NS200,199,mid,2022,Digital,129,38.5,10.6,116406,28.0,32594,149000,173062,76,1.6,Likely to buy,Low
TVS,Star City Plus,109,budget,2023,Semi-Digital,90,66.0,9.1,68750,28.0,19250,88000,102385,61,14.3,Will definitely switch,Very High
Suzuki,Gixxer SF 250,249,mid,2023,Digital,141,29.1,15.6,146094,28.0,40906,187000,216605,66,2.8,Might reconsider,Medium
Honda,CD 110 Dream,109,budget,2021,Analog,91,78.4,8.2,61719,28.0,17281,79000,91881,67,7.2,Will likely switch brand,High
Royal Enfield,Bullet 350,346,premium,2023,Analog,163,31.5,17.8,128125,28.0,35875,164000,192737,65,7.9,Will definitely switch,Very High
Bajaj,Platina 110 H-Gear,115,budget,2021,Semi-Digital,106,60.1,12.6,60938,28.0,17062,78000,93669,71,9.7,Will likely switch brand,High
Yamaha,R15M,155,mid,2024,Digital,133,40.8,11.0,153906,28.0,43094,197000,226395,70,10.0,Will likely switch brand,High
Suzuki,Gixxer 250,249,mid,2024,Digital,165,31.8,16.5,151562,28.0,42438,194000,229522,70,5.8,Will likely switch brand,High
Royal Enfield,Interceptor 650,648,premium,2023,Analog,209,24.1,16.7,238931,31.0,74069,313000,353614,67,1.8,Likely to buy,Low
Bajaj,Dominar 400,373,premium,2021,Digital,210,22.2,17.0,196947,31.0,61053,258000,293894,70,11.7,Will definitely switch,Very High
Royal Enfield,Interceptor 650,648,premium,2020,Analog,180,20.6,17.9,241985,31.0,75015,317000,370591,68,13.8,Will definitely switch,Very High
Royal Enfield,Himalayan 450,452,premium,2023,Digital,191,23.8,13.3,232824,31.0,72176,305000,351632,85,5.3,Will likely switch brand,High
Hero,Xpulse 200,199,mid,2022,Digital,139,40.3,12.9,108594,28.0,30406,139000,158972,71,12.3,Will definitely switch,Very High
Royal Enfield,Classic 350,349,premium,2022,Semi-Digital,156,34.1,17.9,141406,28.0,39594,181000,207110,71,14.4,Will definitely switch,Very High
KTM,Duke 125,124,mid,2025,Digital,118,58.1,11.3,138281,28.0,38719,177000,202640,80,14.4,Will definitely switch,Very High
Suzuki,V-Strom SX,249,premium,2025,Digital,145,33.3,15.1,177344,28.0,49656,227000,266891,74,5.3,Will likely switch brand,High
Bajaj,Platina 110 H-Gear,115,budget,2024,Semi-Digital,106,59.6,10.9,64844,28.0,18156,83000,100458,59,9.4,Will definitely switch,Very High
Honda,Unicorn,160,mid,2020,Semi-Digital,130,40.5,13.3,96094,28.0,26906,123000,142030,64,9.9,Will definitely switch,Very High
Royal Enfield,Bullet 350,346,premium,2020,Analog,165,30.9,15.7,135938,28.0,38062,174000,198131,60,11.1,Will definitely switch,Very High
KTM,Duke 390,373,premium,2024,Digital,184,21.2,17.6,254198,31.0,78802,333000,388247,72,12.6,Will definitely switch,Very High
Bajaj,Pulsar RS200,199,mid,2021,Digital,128,37.2,13.6,129688,28.0,36312,166000,190764,68,2.0,Likely to buy,Low
Bajaj,CT100,102,budget,2025,Analog,100,67.3,8.3,48438,28.0,13562,62000,73671,55,7.0,Will definitely switch,Very High
KTM,RC 390,373,premium,2022,Digital,195,21.5,15.1,241985,31.0,75015,317000,357235,79,4.7,Might reconsider,Medium
Honda,SP 125,124,budget,2025,Digital,105,49.1,12.5,71094,28.0,19906,91000,107249,72,2.2,Might reconsider,Medium
Yamaha,MT-15 V2,155,mid,2023,Digital,135,46.8,11.9,126562,28.0,35438,162000,183735,74,5.3,Will likely switch brand,High
TVS,Jupiter 110,109,budget,2023,Semi-Digital,99,67.8,8.5,58594,28.0,16406,75000,88722,61,4.7,Might reconsider,Medium
TVS,Raider 125,124,budget,2024,Digital,116,49.5,10.9,75000,28.0,21000,96000,110874,71,6.8,Will likely switch brand,High
Hero,Xpulse 200,199,mid,2023,Digital,135,43.9,11.2,119531,28.0,33469,153000,180313,77,13.3,Will definitely switch,Very High
KTM,Duke 125,124,mid,2023,Digital,109,59.0,10.7,145312,28.0,40688,186000,217758,71,14.3,Will definitely switch,Very High
Bajaj,Platina 100,102,budget,2025,Analog,98,62.9,8.3,57031,28.0,15969,73000,87309,58,15.0,Will definitely switch,Very High
TVS,Jupiter 110,109,budget,2022,Semi-Digital,97,68.1,9.0,60938,28.0,17062,78000,92464,69,5.6,Will likely switch brand,High
Hero,HF Deluxe,97,budget,2024,Analog,89,63.5,9.5,57031,28.0,15969,73000,87330,58,8.9,Will definitely switch,Very High
Honda,SP 125,124,budget,2025,Digital,116,59.9,11.9,82031,28.0,22969,105000,122296,72,4.7,Might reconsider,Medium
Yamaha,FZS 25,249,mid,2022,Digital,152,33.4,17.8,119531,28.0,33469,153000,176449,65,6.5,Will definitely switch,Very High
Hero,Xtreme 160R,163,mid,2023,Digital,129,40.4,13.4,109375,28.0,30625,140000,165150,72,4.9,Might reconsider,Medium
Honda,SP 125,124,budget,2024,Digital,115,58.6,12.6,82031,28.0,22969,105000,121952,70,11.2,Will definitely switch,Very High
Bajaj,Pulsar 150,149,mid,2021,Semi-Digital,116,58.4,10.3,89062,28.0,24938,114000,135618,62,8.2,Will definitely switch,Very High
Yamaha,R3,321,premium,2021,Digital,146,28.4,13.2,346094,28.0,96906,443000,514535,73,12.7,Will definitely switch,Very High
Hero,Xtreme 160R,163,mid,2021,Digital,140,42.1,11.5,112500,28.0,31500,144000,168589,69,10.5,Will definitely switch,Very High
Yamaha,Saluto RX,113,budget,2023,Analog,113,52.9,10.2,55469,28.0,15531,71000,85548,51,5.0,Might reconsider,Medium
Bajaj,Pulsar N250,249,mid,2025,Digital,156,33.2,13.1,135938,28.0,38062,174000,203106,65,13.1,Will definitely switch,Very High
Honda,CB300R,293,premium,2023,Digital,149,32.8,19.0,215625,28.0,60375,276000,316076,82,4.9,Might reconsider,Medium
Yamaha,FZ-S V3,149,mid,2025,Semi-Digital,108,53.6,13.9,97656,28.0,27344,125000,147330,62,8.2,Will definitely switch,Very High
Royal Enfield,Guerrilla 450,452,premium,2025,Digital,164,19.9,15.3,223664,31.0,69336,293000,338649,82,14.8,Will definitely switch,Very High
TVS,Apache RTR 160,159,mid,2024,Semi-Digital,136,38.9,11.6,89844,28.0,25156,115000,136196,62,13.6,Will definitely switch,Very High
Royal Enfield,Meteor 350,349,premium,2020,Semi-Digital,153,30.2,17.1,168750,28.0,47250,216000,252033,72,6.4,Will likely switch brand,High
Bajaj,Pulsar 150,149,mid,2021,Semi-Digital,116,58.8,13.4,87500,28.0,24500,112000,133667,70,5.2,Will likely switch brand,High
Suzuki,V-Strom SX,249,premium,2022,Digital,157,33.7,17.6,163281,28.0,45719,209000,236400,70,14.3,Will definitely switch,Very High
Bajaj,Pulsar RS200,199,mid,2020,Digital,138,40.7,11.9,133594,28.0,37406,171000,199308,71,7.5,Will likely switch brand,High
Hero,Mavrick 440,440,premium,2021,Digital,179,21.4,14.0,170992,31.0,53008,224000,255708,81,1.8,Likely to buy,Low
Bajaj,Pulsar N160,160,mid,2025,Digital,125,38.4,13.9,99219,28.0,27781,127000,152127,68,7.8,Will likely switch brand,High
Royal Enfield,Meteor 350,349,premium,2020,Semi-Digital,145,32.6,13.9,167969,28.0,47031,215000,242557,73,12.0,Will definitely switch,Very High
KTM,RC 390,373,premium,2020,Digital,194,19.4,19.2,261069,31.0,80931,342000,395311,74,11.2,Will definitely switch,Very High
Suzuki,Gixxer,155,mid,2023,Semi-Digital,131,39.2,12.0,100000,28.0,28000,128000,150168,62,2.8,Might reconsider,Medium
TVS,Ronin,225,mid,2023,Digital,156,31.7,19.2,121875,28.0,34125,156000,182422,73,8.3,Will likely switch brand,High
Honda,CB350 H'ness,348,premium,2021,Digital,165,29.4,18.1,160156,28.0,44844,205000,239185,78,1.3,Likely to buy,Low
Honda,CB300R,293,premium,2025,Digital,160,31.0,14.8,201562,28.0,56438,258000,291714,72,6.3,Will likely switch brand,High
Suzuki,Gixxer SF,155,mid,2023,Semi-Digital,120,43.5,11.8,115625,28.0,32375,148000,170380,58,10.7,Will definitely switch,Very High
Honda,CB200X,184,mid,2020,Digital,120,43.9,12.6,117969,28.0,33031,151000,175785,73,6.9,Will likely switch brand,High
TVS,Raider 125,124,budget,2020,Digital,108,55.2,12.0,75781,28.0,21219,97000,113630,67,2.6,Might reconsider,Medium
Bajaj,Pulsar N160,160,mid,2023,Digital,129,44.1,13.6,106250,28.0,29750,136000,161596,69,1.6,Likely to buy,Low
Yamaha,MT-15 V2,155,mid,2024,Digital,135,45.4,10.3,128906,28.0,36094,165000,187836,75,14.3,Will definitely switch,Very High
Honda,SP 125,124,budget,2020,Digital,106,51.9,13.4,81250,28.0,22750,104000,122282,67,12.4,Will definitely switch,Very High
Royal Enfield,Scram 411,411,premium,2025,Semi-Digital,162,23.9,17.5,171756,31.0,53244,225000,258277,70,12.9,Will definitely switch,Very High
Royal Enfield,Bullet 350,346,premium,2023,Analog,150,31.0,19.7,133594,28.0,37406,171000,197311,61,2.6,Might reconsider,Medium
TVS,Raider 125,124,budget,2025,Digital,110,57.0,10.2,78125,28.0,21875,100000,118443,64,2.9,Might reconsider,Medium
Bajaj,CT100,102,budget,2022,Analog,90,73.0,9.2,43750,28.0,12250,56000,69072,64,6.3,Will definitely switch,Very High
Honda,CB300R,293,premium,2025,Digital,148,28.5,19.1,210156,28.0,58844,269000,312422,82,5.4,Will likely switch brand,High
Suzuki,Gixxer,155,mid,2024,Semi-Digital,136,45.8,10.4,110156,28.0,30844,141000,166099,72,10.6,Will definitely switch,Very High
TVS,Star City Plus,109,budget,2021,Semi-Digital,86,75.7,9.0,64062,28.0,17938,82000,96857,61,10.0,Will definitely switch,Very High
Yamaha,FZS 25,249,mid,2021,Digital,150,30.6,16.9,135938,28.0,38062,174000,203465,69,1.7,Likely to buy,Low
Royal Enfield,Continental GT 650,648,premium,2023,Analog,191,21.7,18.2,255725,31.0,79275,335000,382422,70,5.4,Will likely switch brand,High
Hero,Passion Pro,110,budget,2025,Semi-Digital,94,75.5,9.3,58594,28.0,16406,75000,87323,71,8.9,Will likely switch brand,High
Royal Enfield,Hunter 350,349,premium,2025,Semi-Digital,164,30.7,17.6,125781,28.0,35219,161000,183638,75,9.4,Will likely switch brand,High
Yamaha,Saluto RX,113,budget,2025,Analog,114,53.1,10.4,54688,28.0,15312,70000,83535,58,8.3,Will definitely switch,Very High
Bajaj,Platina 100,102,budget,2023,Analog,91,63.4,8.4,53125,28.0,14875,68000,82401,58,2.7,Might reconsider,Medium
Bajaj,Pulsar 150,149,mid,2024,Semi-Digital,108,59.5,13.8,92969,28.0,26031,119000,138182,69,7.4,Will likely switch brand,High
Honda,CB350 H'ness,348,premium,2021,Digital,158,35.3,17.8,176562,28.0,49438,226000,258493,85,13.9,Will definitely switch,Very High
Bajaj,Platina 110 H-Gear,115,budget,2023,Semi-Digital,115,56.4,13.9,64844,28.0,18156,83000,97658,65,13.3,Will definitely switch,Very High
TVS,Star City Plus,109,budget,2025,Semi-Digital,89,75.1,9.0,61719,28.0,17281,79000,96122,67,9.4,Will likely switch brand,High
Suzuki,Gixxer SF 250,249,mid,2025,Digital,146,29.8,15.4,160938,28.0,45062,206000,242971,72,11.0,Will definitely switch,Very High
Honda,CB300R,293,premium,2022,Digital,160,32.3,16.9,227344,28.0,63656,291000,340217,77,10.9,Will definitely switch,Very High
KTM,Duke 390,373,premium,2021,Digital,193,23.6,13.4,243511,31.0,75489,319000,372632,72,1.4,Likely to buy,Low
Hero,Xpulse 200,199,mid,2022,Digital,124,43.8,10.8,107812,28.0,30188,138000,160938,68,10.7,Will definitely switch,Very High
Suzuki,Gixxer 250,249,mid,2021,Digital,147,33.8,16.6,133594,28.0,37406,171000,200494,73,8.9,Will likely switch brand,High
TVS,Apache RTR 160 4V,159,mid,2025,Digital,130,46.6,11.0,108594,28.0,30406,139000,159318,80,1.8,Likely to buy,Low
KTM,Adventure 390,373,premium,2021,Digital,197,21.3,18.4,289313,31.0,89687,379000,444501,79,11.3,Will definitely switch,Very High
Bajaj,Pulsar 150,149,mid,2022,Semi-Digital,108,61.1,12.2,86719,28.0,24281,111000,128278,73,1.6,Likely to buy,Low
Honda,CB300R,293,premium,2022,Digital,144,33.6,17.2,199219,28.0,55781,255000,295618,72,3.2,Might reconsider,Medium
TVS,Apache RR 310,312,premium,2024,Digital,147,30.6,14.1,218750,28.0,61250,280000,324117,71,8.3,Will likely switch brand,High
Suzuki,Gixxer 250,249,mid,2024,Digital,150,33.3,16.7,145312,28.0,40688,186000,210840,68,5.1,Will likely switch brand,High
Suzuki,V-Strom SX,249,premium,2024,Digital,147,30.8,14.7,180469,28.0,50531,231000,270255,78,9.6,Will likely switch brand,High
Hero,Xtreme 125R,125,budget,2022,Digital,114,53.5,12.1,84375,28.0,23625,108000,125709,65,13.8,Will definitely switch,Very High
Yamaha,MT-03,321,premium,2024,Digital,142,30.6,16.7,356250,28.0,99750,456000,517940,71,3.3,Might reconsider,Medium
Hero,Xpulse 200 4V,199,mid,2025,Digital,123,41.2,13.5,115625,28.0,32375,148000,173445,71,8.5,Will likely switch brand,High
KTM,RC 390,373,premium,2020,Digital,205,19.5,13.4,261832,31.0,81168,343000,401376,76,1.5,Likely to buy,Low
TVS,Radeon,109,budget,2022,Analog,99,68.4,8.0,61719,28.0,17281,79000,92926,64,6.7,Will definitely switch,Very High
Honda,CB200X,184,mid,2020,Digital,122,37.4,11.2,117969,28.0,33031,151000,177750,74,14.0,Will definitely switch,Very High
TVS,Apache RR 310,312,premium,2024,Digital,161,31.2,14.5,222656,28.0,62344,285000,328403,69,7.6,Will likely switch brand,High
KTM,Duke 125,124,mid,2024,Digital,116,50.3,10.6,142969,28.0,40031,183000,215025,70,8.7,Will likely switch brand,High
Hero,Xtreme 125R,125,budget,2025,Digital,116,52.4,13.4,75781,28.0,21219,97000,113375,68,6.8,Will likely switch brand,High
Honda,CB350RS,348,premium,2024,Digital,161,29.0,16.2,162500,28.0,45500,208000,238985,81,12.9,Will definitely switch,Very High
Suzuki,Gixxer SF 250,249,mid,2025,Digital,155,33.7,17.6,142188,28.0,39812,182000,210630,68,6.0,Will likely switch brand,High
Honda,SP 125,124,budget,2024,Digital,114,54.3,11.5,74219,28.0,20781,95000,110073,75,3.1,Might reconsider,Medium
Royal Enfield,Meteor 350,349,premium,2022,Semi-Digital,160,33.6,13.9,175781,28.0,49219,225000,255584,72,4.9,Might reconsider,Medium
Royal Enfield,Bullet 350,346,premium,2020,Analog,143,31.9,18.9,145312,28.0,40688,186000,214489,61,10.0,Will definitely switch,Very High
Honda,CB350 H'ness,348,premium,2025,Digital,142,28.7,13.2,174219,28.0,48781,223000,257120,72,12.9,Will definitely switch,Very High
KTM,Duke 200,199,mid,2021,Digital,137,42.4,11.5,163281,28.0,45719,209000,236989,75,10.2,Will definitely switch,Very High
Bajaj,Pulsar RS200,199,mid,2024,Digital,136,41.6,10.0,145312,28.0,40688,186000,216583,68,6.6,Will likely switch brand,High
TVS,Sport,99,budget,2024,Analog,89,74.3,9.9,56250,28.0,15750,72000,85806,61,3.2,Might reconsider,Medium
Honda,CB350RS,348,premium,2021,Digital,147,34.0,13.3,178125,28.0,49875,228000,262022,73,4.7,Might reconsider,Medium
Bajaj,Pulsar NS200,199,mid,2025,Digital,121,45.8,13.9,117188,28.0,32812,150000,176275,83,5.5,Will likely switch brand,High
TVS,Apache RTR 160,159,mid,2020,Semi-Digital,132,40.8,12.1,98438,28.0,27562,126000,145271,64,9.2,Will definitely switch,Very High
Royal Enfield,Continental GT 650,648,premium,2021,Analog,190,21.9,16.1,279389,31.0,86611,366000,415907,72,1.1,Likely to buy,Low
